timestamp,pressure_mBar,mh20_m,conductivity_raw_V,temperature_C,battery_V,rssi_dBm,temperature_logger_C,pressure_logger_mBar,voltage_logger_V
2024-08-28 11:44:57,955.4990234374999,0.11401062011718643,3.493,-1.0999999999999943,4.051,-87.0,8.58676528930664,944.0979614257812,13.9922
2024-08-28 10:44:57,952.4472656249999,0.08040832519531138,3.5,-1.0999999999999943,4.051,-85.0,8.150464057922363,944.4064331054688,13.307500000000001
2024-08-28 09:44:57,952.4472656249999,0.07414306640624924,3.504,-1.0999999999999943,4.051,-86.0,7.30415153503418,945.032958984375,13.1599
2024-08-28 08:44:57,952.4472656249999,0.06702270507812469,3.503,-1.0999999999999943,4.048,-86.0,6.705910682678223,945.7449951171875,12.971300000000001
2024-08-28 07:44:57,955.4990234374999,0.08989196777343667,3.504,-1.0999999999999943,4.051,-86.0,6.627251148223877,946.5098266601562,12.9016
2024-08-28 06:44:57,958.5507812499999,0.11528930664062464,3.501,-1.0999999999999943,4.051,-87.0,6.539079666137695,947.0218505859375,12.893400000000002
2024-08-28 05:44:57,1095.8798828125,1.4838659667968757,3.314,-1.0999999999999943,4.051,-81.0,6.737021446228027,947.4932861328125,13.000000000000002
2024-08-28 04:44:57,1312.5546875,3.6422094726562504,3.313,-1.0999999999999943,4.048,-79.0,6.446698188781738,948.333740234375,13.041
2024-08-28 03:44:57,1578.0576171875,6.291396484375,3.317,-1.1499999999999986,4.048,-78.0,6.623990535736084,948.91796875,12.938500000000001
2024-08-28 02:44:57,1678.765625,7.295549926757813,3.315,-1.0999999999999943,4.051,-78.0,6.833615779876709,949.2106323242188,12.950800000000001
2024-08-28 01:44:57,1724.5419921875,7.748815307617188,3.316,-1.0999999999999943,4.048,-78.0,6.715760707855225,949.6604614257812,13.090200000000001
2024-08-28 00:44:57,1904.595703125,9.548464965820312,3.311,-1.0999999999999943,4.048,-79.0,6.964852333068848,949.7492065429688,13.098400000000002
2024-08-27 23:44:57,2487.4814453125,15.376456909179687,3.312,-1.0999999999999943,4.051,-78.0,7.635639667510986,949.8357543945312,13.2009
2024-08-27 22:44:57,3119.1953125,21.692714233398437,3.311,-1.0999999999999943,4.048,-78.0,9.395310401916504,949.9238891601562,13.4428
2024-08-27 21:44:57,3543.3896484375,25.93634521484375,3.314,-1.1499999999999986,4.051,-79.0,11.4417724609375,949.755126953125,14.107000000000001
2024-08-27 20:44:57,3821.099609375,28.70871337890625,3.314,-1.0999999999999943,4.051,-80.0,13.244983673095703,950.228271484375,14.053700000000001
2024-08-27 19:44:57,4077.4472656249995,31.269725952148434,3.311,-1.0999999999999943,4.048,-80.0,14.981627464294434,950.4746704101562,14.0127
2024-08-27 18:44:57,4181.20703125,32.30428588867187,3.306,-1.0499999999999972,4.051,-81.0,14.805490493774414,950.7784423828125,13.9799
2024-08-27 17:44:57,3912.65234375,29.612667236328125,3.309,-1.0999999999999943,4.051,-81.0,14.851613998413086,951.3856201171875,14.5662
2024-08-27 16:44:57,3979.791015625,30.278961791992188,3.305,-1.0999999999999943,4.048,-81.0,14.537243843078613,951.8948364257812,14.525200000000002
2024-08-27 15:44:57,2868.951171875,19.16944274902344,3.307,-1.0999999999999943,4.051,-80.0,14.404850959777832,952.0068969726562,13.9799
2024-08-27 14:44:57,1632.9892578125,6.807238159179688,3.3,-1.0999999999999943,4.048,-79.0,13.403595924377441,952.2654418945312,13.9594
2024-08-27 13:44:57,961.6025390624999,0.08595336914062446,3.495,-1.0999999999999943,4.051,-89.0,11.063074111938477,953.0072021484375,14.6605
2024-08-27 12:44:57,964.6542968749999,0.11352905273437464,3.494,-1.0999999999999943,4.051,-86.0,7.996200084686279,953.3013916015625,14.484200000000001
2024-08-27 11:44:57,961.6025390624999,0.07959228515624917,3.496,-1.0999999999999943,4.051,-86.0,6.57650899887085,953.643310546875,13.451
2024-08-27 10:44:57,961.6025390624999,0.072166137695312,3.496,-1.0999999999999943,4.048,-86.0,5.860141754150391,954.3859252929688,12.9672
2024-08-27 09:44:56,964.6542968749999,0.10156188964843715,3.501,-1.0999999999999943,4.051,-85.0,5.389061450958252,954.4981079101562,12.991800000000001
2024-08-27 08:44:56,961.6025390624999,0.07037353515624956,3.504,-1.0999999999999943,4.051,-86.0,5.321949481964111,954.565185546875,12.9016
2024-08-27 07:44:56,1013.482421875,0.5900866699218754,3.285,-1.0999999999999943,4.051,-84.0,5.495368480682373,954.4737548828125,12.8237
2024-08-27 06:44:56,1288.140625,3.337115478515625,3.297,-1.0999999999999943,4.051,-80.0,5.807360649108887,954.4290771484375,12.9344
2024-08-27 05:44:56,1782.525390625,8.279776000976563,3.309,-1.0999999999999943,4.051,-79.0,5.796900749206543,954.5477905273438,12.8155
2024-08-27 04:44:56,2060.2353515625,11.05767822265625,3.305,-1.0999999999999943,4.051,-79.0,5.758249282836914,954.467529296875,12.852400000000001
2024-08-27 03:44:56,1929.009765625,9.747489624023437,3.311,-1.0999999999999943,4.048,-79.0,5.769118785858154,954.2608032226562,12.9549
2024-08-27 02:44:56,2090.7529296875,11.362799682617188,3.312,-1.0999999999999943,4.048,-79.0,5.767080307006836,954.4729614257812,12.9549
2024-08-27 01:44:56,2533.2578125,15.788005981445314,3.314,-1.0999999999999943,4.048,-78.0,5.872707366943359,954.4572143554688,12.9672
2024-08-27 00:44:56,2951.3486328125,19.97059753417969,3.309,-1.1499999999999986,4.048,-78.0,5.725440502166748,954.2888793945312,12.913900000000002
2024-08-26 23:44:56,3247.369140625,22.930806884765627,3.311,-1.0999999999999943,4.048,-79.0,5.893222808837891,954.2884521484375,12.971300000000001
2024-08-26 22:44:56,2914.7275390625,19.6042724609375,3.311,-1.0999999999999943,4.051,-79.0,6.066098690032959,954.30029296875,13.2132
2024-08-26 21:44:56,2508.84375,15.549888916015625,3.318,-1.0999999999999943,4.048,-78.0,6.4781494140625,953.8548583984375,13.237800000000002
2024-08-26 20:44:56,2283.013671875,13.295724487304687,3.314,-1.0999999999999943,4.051,-79.0,6.569987773895264,953.4412231445312,13.369000000000002
2024-08-26 19:44:56,2188.4091796875,12.350121459960937,3.313,-1.0,4.051,-79.0,6.747890472412109,953.3970336914062,13.594500000000002
2024-08-26 18:44:56,1782.525390625,8.2923583984375,3.322,-1.0999999999999943,4.048,-80.0,6.988150596618652,953.28955078125,13.836400000000001
2024-08-26 17:44:56,1501.763671875,5.488792724609375,3.328,-1.0999999999999943,4.051,-80.0,7.125298023223877,952.8843994140625,13.902000000000001
2024-08-26 16:44:56,1224.0537109375,2.714599609375,3.328,-1.0999999999999943,4.051,-80.0,7.798122406005859,952.59375,14.1767
2024-08-26 15:44:56,989.0683593749999,0.36592590332031216,3.318,-1.1499999999999986,4.051,-84.0,8.197537422180176,952.4757690429688,14.0988
2024-08-26 14:44:56,961.6025390624999,0.09088012695312453,3.514,-1.1499999999999986,4.051,-85.0,8.41694450378418,952.5145263671875,14.025
2024-08-26 13:44:56,961.6025390624999,0.0947833251953123,3.508,-1.0999999999999943,4.048,-84.0,8.665085792541504,952.1242065429688,14.234100000000002
2024-08-26 12:44:56,961.6025390624999,0.09411621093749933,3.499,-1.0999999999999943,4.048,-86.0,7.612271785736084,952.19091796875,13.9184
2024-08-26 11:44:56,961.6025390624999,0.0959912109374994,3.491,-1.0999999999999943,4.048,-86.0,6.303505897521973,952.00341796875,13.487900000000002
2024-08-26 10:44:56,961.6025390624999,0.09567871093749902,3.49,-1.0999999999999943,4.051,-86.0,5.288460731506348,952.03466796875,13.024600000000001
2024-08-26 09:44:56,958.5507812499999,0.06357360839843729,3.491,-1.1499999999999986,4.051,-85.0,4.844552040100098,952.1934204101562,12.8237
2024-08-26 08:44:56,958.5507812499999,0.06690612792968675,3.491,-1.0999999999999943,4.048,-86.0,4.471492767333984,951.8601684570312,13.0164
2024-08-26 07:44:56,958.5507812499999,0.06796386718749936,3.49,-1.1499999999999986,4.051,-85.0,4.383389949798584,951.75439453125,13.004100000000001
2024-08-26 06:44:56,961.6025390624999,0.09973327636718654,3.491,-1.0999999999999943,4.051,-86.0,4.585203647613525,951.6292114257812,13.004100000000001
2024-08-26 05:44:56,961.6025390624999,0.09785522460937446,3.505,-1.1499999999999986,4.051,-86.0,4.680371284484863,951.8170166015625,13.024600000000001
2024-08-26 04:44:56,964.6542968749999,0.12807556152343635,3.491,-1.0999999999999943,4.051,-85.0,4.667057037353516,951.8467407226562,12.9344
2024-08-26 03:44:56,1092.828125,1.4082000732421884,3.283,-1.0999999999999943,4.051,-79.0,4.620118618011475,952.0081176757812,13.000000000000002
2024-08-26 01:44:56,1550.591796875,5.9786474609375,3.286,-1.0999999999999943,4.051,-78.0,4.961931228637695,952.72705078125,13.1681
2024-08-26 00:44:56,1822.1982421875,8.69251708984375,3.289,-1.0999999999999943,4.051,-78.0,5.032984733581543,952.946533203125,12.979500000000002
2024-08-25 23:44:56,2124.322265625,11.715203857421876,3.297,-1.0999999999999943,4.048,-78.0,5.811233043670654,952.8018798828125,13.205
2024-08-25 22:44:56,2142.6328125,11.894393920898438,3.302,-1.0999999999999943,4.051,-78.0,6.804610729217529,953.1934204101562,13.1681
2024-08-25 21:44:56,2261.6513671875,13.086999511718748,3.304,-1.1499999999999986,4.051,-77.0,7.897636890411377,952.951416015625,13.7954
2024-08-25 20:44:55,2637.017578125,16.840736694335938,3.301,-1.0999999999999943,4.051,-78.0,8.688859939575195,952.9439086914062,13.824100000000001
2024-08-25 19:44:55,3049.0048828125,20.962633056640627,3.299,-1.0999999999999943,4.048,-79.0,10.52121353149414,952.7415771484375,13.9922
2024-08-25 18:44:55,2991.021484375,20.38194580078125,3.298,-1.0999999999999943,4.051,-78.0,11.143908500671387,952.826904296875,13.988100000000001
2024-08-25 17:44:55,2655.328125,17.0252392578125,3.296,-1.1499999999999986,4.051,-79.0,10.63662338256836,952.80419921875,14.0988
2024-08-25 16:44:55,2246.392578125,12.933220825195313,3.29,-1.0999999999999943,4.051,-78.0,10.737292289733887,953.0704956054688,14.611300000000002
